date,ob_j17_ft,ob_j27_ft,ob_comal_cfs,ob_sm_cfs,simh_j17_ft,simh_j27_ft,simq_comal_cfs,simq_sm_cfs
1947-01-31,680.7,867.5,406.4516203703704,237.5247916666667,691.2648344659862,848.346948393331,462.01279403999376,247.39442045082967
1947-02-28,679.0,868.3,404.3928703703704,222.2078935185185,689.9615749344928,847.8165599350567,451.05678189117367,199.31935886702402
1947-03-31,678.1,869.0,402.9677314814815,217.2815972222222,688.3830845114986,846.0615777028793,439.50677444895126,188.39214760506425
1947-04-30,675.0,869.2,391.0,204.9359953703704,686.1071231360902,843.9922720877668,423.5030668688205,171.19902277262662
1947-05-31,675.5,869.2,363.1612962962963,183.0,682.6046744828128,841.6576971741694,400.4645552532284,150.28294986814598
1947-06-30,669.7,869.9,341.5333333333334,161.1359953703704,678.5600239944598,839.3781527836295,374.3168040162617,135.9580107149295
1947-07-31,667.6,870.4,326.3871064814815,151.8283564814815,674.8708820189613,836.6807098536339,352.0153435001376,126.98411945402158
1947-08-31,670.6,870.7,320.7741898148148,153.6564699074074,671.9045976821436,834.0645750396154,334.45146559842783,142.12564321762946
1947-09-30,668.5,870.2,316.0,151.5013657407407,672.4544928312168,832.0554504403607,335.84300026200043,138.10714624163356
1947-10-31,666.2,869.7,309.2580555555555,131.8830787037037,672.8585385230424,830.1981326693768,337.2445973611972,131.68745084356783
1947-11-30,667.3,869.2,307.4666666666666,138.421412037037,672.7331220126031,828.5513808793812,336.08596754152023,130.51488051005364
1947-12-31,667.9,868.5,306.6774074074074,130.3232407407407,672.2461470430808,826.9512073682382,333.2757244519372,128.68431217966824
1948-01-31,666.4,867.6,304.645162037037,128.9096759259259,671.398254434759,825.5201049523478,328.8516047953595,126.6025734231276
1948-02-29,667.7,867.0,297.7931018518519,118.1103472222222,670.7446598765076,824.4466884651823,324.7327685182019,121.3916291367588
1948-03-31,664.9,865.8,296.7564583333333,113.6923032407407,668.8885582575296,823.2084980122929,314.34871210238185,115.88106645377002
1948-04-30,661.4,864.7,295.2666666666667,106.7712615740741,666.8749501405397,821.8268094977537,303.7755977997992,113.44221388183234
1948-05-31,659.0,863.9,284.5161342592593,91.97134259259259,663.5169646506696,820.2135975140752,287.3237445042233,114.65425836591741
1948-06-30,658.8,862.8,277.365,86.46743055555555,661.7393906909095,818.466492884499,280.6399777100914,113.50350476797479
1948-07-31,656.4,863.5,266.0483796296296,97.32225694444445,659.0653346061673,816.414377355828,266.1591655699763,111.56789638089954
1948-08-31,653.8,863.4,256.4951620370371,102.3339699074074,656.6998553001528,814.5330662708205,252.5919401721628,110.33689619982788
1948-09-30,656.0,863.1,258.1,103.0,657.1346278997624,813.4302401151197,253.42183004295836,109.97062825983394
1948-10-31,657.8,862.4,257.2551620370371,103.8018402777778,658.7704564834208,812.5540656732392,261.3757120419238,106.0383501602991
1948-11-30,657.9,861.6,260.7333333333333,101.6571412037037,660.573307292412,811.6568169141065,270.2404832756305,108.01347636733456
1948-12-31,656.6,860.5,256.1128935185185,95.61998263888889,661.3174695325375,810.7416459090525,274.2008428630598,107.28844484812281
1949-01-31,657.5,859.7,258.5806481481482,101.7583564814815,661.3715379630651,809.778139739304,274.855308285594,102.53169900276433
1949-02-28,659.5,860.0,243.9867824074074,102.0128703703704,661.9191670240509,809.3729316302032,277.8919481889088,99.369235729562
1949-03-31,659.4,862.9,270.9341898148148,105.8139583333333,663.2146460678559,808.9087680069275,286.5191453808985,100.81764368207388
1949-04-30,671.1,865.1,284.855,124.7269791666667,667.3476487657664,808.8405124821896,312.96919113592355,100.36068871985196
1949-05-31,669.0,866.5,312.6425925925926,157.4283680555556,668.7697805198442,808.933927500996,324.11914512039397,125.63736558942388
1949-06-30,665.5,867.5,314.9466666666667,141.5272685185185,664.4470576189558,808.3717584955051,299.13432363660155,161.54349579171517
1949-07-31,662.8,868.0,311.1890277777778,129.452650462963,659.6156788950552,807.0477008611764,271.97659746724946,154.2083052925967
1949-08-31,660.3,868.5,305.6435416666667,123.9667013888889,655.6710411675202,805.8252817701161,250.00997619093647,150.399949348394
1949-09-30,659.4,869.5,287.4493287037037,115.2,656.6820213282053,805.2471320013333,252.94195196001695,137.0033795543892
1949-10-31,667.1,870.5,281.4741898148148,113.2857175925926,658.0708106433372,804.8038670218257,259.0208391722724,124.27760515466468
1949-11-30,663.9,871.0,281.5333333333334,120.0759375,658.8176439104824,804.4126521832475,262.8326554854002,115.2036084800565
1949-12-31,663.9,871.2,284.2254861111111,119.0552662037037,659.409133522858,803.9982792821182,265.76189390437446,109.76952771562277
1950-01-31,663.2,871.3,283.6774074074074,106.3302314814815,658.7853331289568,803.4721868747432,262.26728327504065,103.56589145704157
1950-02-28,665.2,871.0,284.9592824074074,112.5632638888889,659.4684462432436,803.0533510995355,266.55985339713413,100.57375075060641
1950-03-31,662.2,870.0,279.08,117.3301157407407,658.8606368758932,802.3747275525554,263.64696352065215,99.71302852633444
1950-04-30,663.1,869.4,273.8280092592593,110.0303009259259,657.2553992882602,801.6620814958811,255.16866191153983,95.47053118931434
1950-05-31,661.4,868.8,269.1732175925926,111.2534606481481,654.4396273993129,800.8702909715158,242.8391032940333,100.90413946763651
1950-06-30,659.7,868.1,266.6986574074074,116.6714236111111,650.9161822641503,799.6841640761534,224.55504225065349,110.39404113385031
1950-07-31,657.2,867.2,254.8387037037037,115.7941203703704,648.4500635938505,798.3620126459978,211.4706319031381,119.51603455823958
1950-08-31,655.3,867.6,245.5161342592592,107.7784606481482,645.0902490450293,797.0065153424398,192.9417108215674,118.07443535853811
1950-09-30,657.5,865.8,247.1,96.65266782407407,645.5749968462375,796.2447927239955,193.57011933732787,111.10779458007536
1950-10-31,655.2,864.5,249.4187037037037,92.05972222222222,647.9661775525145,795.6360101791108,204.78074302137816,109.41209979432573
1950-11-30,655.4,863.2,240.1986574074074,92.20169560185185,650.1117218896918,795.1692147688176,215.30018134359534,109.34555954306313
1950-12-31,655.7,861.8,235.3225925925926,87.38605324074074,650.4527078392907,794.6400017166142,217.41947442871674,108.84983276103175
1951-01-31,653.6,860.7,230.9674074074074,85.90944444444445,650.0790249130558,793.9214820284254,215.34350803008655,104.02964138014289
1951-02-28,654.3,859.6,224.0710648148148,84.41428819444444,650.343288904103,793.355167112306,217.45167047305438,100.66986144891416
1951-03-31,651.7,858.5,221.7393518518519,85.44055555555556,649.2525414378282,792.3718769479594,212.27328577049593,98.59151035723593
1951-04-30,649.5,857.2,215.6643287037037,86.8728587962963,647.5602678930835,791.3897849696501,204.9486705902245,97.97322470036941
1951-05-31,652.5,857.2,215.1177314814815,90.3512037037037,643.5916700368388,790.8637393823275,183.24027094408348,94.63794732812312
1951-06-30,649.4,855.8,212.215,128.0238194444445,638.9198220445115,789.3562436684124,159.78248539608904,92.80962280561172
1951-07-31,643.7,853.5,188.0238657407407,110.3082407407407,635.6938306183059,787.1595069145649,142.04776682417537,88.96618645027924
1951-08-31,641.3,851.8,178.2638657407407,98.97501157407407,633.2266036733749,785.4526615730024,128.62497436986106,85.99974553381368
1951-09-30,645.5,850.4,177.8656712962963,93.05487847222223,635.8377411981372,784.927226634615,140.89418640169683,84.09169230716068
1951-10-31,646.0,849.8,183.4187037037037,89.78662615740741,639.3171300066443,784.625699220213,157.96451867711065,84.04746929907773
1951-11-30,646.4,848.7,191.4320023148148,89.15736689814815,641.386231442773,784.3705223403587,168.5475438423211,84.77271599884867
1951-12-31,646.4,846.9,201.755162037037,84.92328703703704,642.9178677813511,784.0675940317034,176.70815025853022,84.65942402963752
1952-01-31,644.9,833.7,191.5777430555555,80.60023148148149,643.8240892435158,783.6200345308642,181.72032510072904,83.00122408555437
1952-02-29,645.7,832.2,175.361724537037,76.98735532407407,644.1706797409656,783.2472058873317,183.5366107451146,82.01440239130208
1952-03-31,643.6,830.2,179.2341898148148,83.04386574074074,643.3447577019414,782.4072281721704,179.48852125285,80.62258897526388
1952-04-30,646.1,827.8,184.2233333333333,90.26703125,642.5874282501907,781.6440012582066,176.763427163363,89.1921257267812
1952-05-31,642.8,825.0,180.4277430555556,90.40670717592593,641.386013892441,780.9980671277322,174.54399012521847,87.97321380645357
1952-06-30,639.3,838.2,177.2679976851852,103.7834606481482,637.2357343446095,779.5182587209813,153.6634436311815,94.26664737088994
1952-07-31,639.4,840.5,160.5122569444444,106.8693402777778,632.1202767561066,777.0917229768357,125.50574472816805,89.55182836701758
1952-08-31,634.6,838.5,131.4929050925926,95.47925347222223,628.9271559683385,775.3458925581382,107.3832305305353,85.3834794041101
1952-09-30,643.5,837.8,172.0636689814815,98.93870370370371,641.1536404616209,775.3161326547628,186.62530725069817,126.60874573273864
1952-10-31,641.3,836.1,193.0632291666667,118.4193518518519,643.636969578762,775.6396008737064,191.0801797531819,127.07679193792956
1952-11-30,646.9,836.1,199.1140046296296,134.2738078703704,644.1719143825586,775.8079213156764,191.33565731782994,128.68255209722614
1952-12-31,650.5,835.2,223.8045138888889,145.2672800925926,646.0262183027617,775.8815065441728,201.76345745764849,122.9564884616765
1953-01-31,649.3,834.2,230.0632175925926,150.2290277777778,647.6894454148238,775.7896582203596,212.1968361982367,138.57189398373984
1953-02-28,648.0,832.5,226.5175,144.05,647.2771690698922,775.6951899698289,208.62253121042048,148.45632278902977
1953-03-31,644.4,830.7,218.9835416666667,134.9268287037037,645.356954909845,774.9899061044141,196.8521032934757,167.4909389767751
1953-04-30,644.1,828.2,208.5433333333333,128.3506134259259,643.4318697729539,774.2769649584641,186.42455213503933,167.64750639117352
1953-05-31,641.0,825.8,201.7641898148148,130.3132060185185,638.8190713181064,773.434025654052,162.5210048654665,152.39612878566462
1953-06-30,633.4,821.8,174.2209953703704,120.5550578703704,632.1832690863256,771.394170576824,127.40867057988144,132.41788883063103
1953-07-31,633.3,819.0,142.5777430555555,108.2222222222222,626.3236266228912,768.2899794471174,96.39499657455629,128.05286682277375
1953-08-31,639.1,819.2,124.8322569444444,118.0975578703704,624.4322155908618,766.4685536851646,85.45417113198998,150.0852065871122
1953-09-30,643.9,818.8,183.4253356481481,140.4134722222222,630.5411050932846,766.3818237233463,122.35347910904012,174.6856028156045
1953-10-31,645.2,832.0,194.6371064814815,130.6568055555556,635.4463896808206,766.7417760262406,147.02990495712007,169.14722633589204
1953-11-30,645.6,831.8,204.5496759259259,145.9288541666667,639.5052204518145,767.266870525673,166.40520308938042,167.2025314132951
1953-12-31,646.1,832.2,189.7890277777778,177.33625,641.0847480491318,767.5504230464111,174.00458292299925,144.85856797771234
1954-01-31,645.8,831.6,206.0954861111111,160.7797106481482,641.4037828524389,767.6945766286457,175.1483716904646,143.1940790970589
1954-02-28,642.2,829.3,204.2857175925926,139.1809259259259,640.1908122378933,767.5836817602457,168.50110004571522,139.81967603135104
1954-03-31,639.1,826.5,172.0,128.4736805555555,638.7908873014809,766.916940471498,160.27179285127963,131.9514779699577
1954-04-30,636.8,825.3,147.3386689814815,119.9651157407407,636.1237545824911,766.1566280242832,145.58870701067138,125.24138948936806
1954-05-31,638.4,827.6,148.9238657407408,113.0440277777778,632.1895161765708,765.7193551225542,125.58856412744777,120.30217397678615
1954-06-30,632.2,832.2,120.2066666666667,104.2746180555555,626.1586750196294,764.0785048927816,94.43611380165223,112.56138484970097
1954-07-31,630.0,835.3,104.8664583333333,95.7997800925926,620.949663597483,761.44993478544,66.58174354168355,100.41623929814557
1954-08-31,628.8,836.2,83.37516203703704,82.99728587962963,617.4872849341688,759.5535138569425,47.72809716313367,91.76609778216564
1954-09-30,629.1,834.8,77.57200231481481,81.34078703703703,620.5268763222375,759.3646061397643,61.42541794650239,86.85370920110789
1954-10-31,633.9,835.7,108.7574189814815,85.57936921296296,624.2012579471954,759.4243776760163,79.79579818048305,85.55971775672089
1954-11-30,636.2,834.0,123.797662037037,87.8875,627.0542331539118,759.5687358263456,94.40792376822331,85.30677262588902
1954-12-31,636.9,833.0,129.2738657407407,89.9644849537037,627.8321289284842,759.5248861233251,98.65893469463741,84.98364931003432
1955-01-31,637.7,832.4,136.7412962962963,91.62987268518519,627.5239458067211,759.3355572877407,97.10004845474458,91.56926108449818
1955-02-28,638.1,831.5,142.82,92.55133680555555,627.6446559490745,759.1158738440482,98.21960914498824,98.1683069669628
1955-03-31,635.8,829.8,129.0438657407407,86.19348958333333,626.7246827591414,758.2898265076378,93.69133787701453,97.27874769650151
1955-04-30,630.9,826.0,105.3553356481481,78.32047453703704,624.9594879227593,757.4806406039696,84.85528445780875,98.35133497077246
1955-05-31,633.3,827.4,93.08612847222223,90.2806423611111,621.3733253774755,756.755797495157,67.10355778013314,109.61260914199669
1955-06-30,628.5,824.5,87.615,98.4536574074074,615.5453943545938,754.8636544272064,38.014226068369936,113.77198020281438
1955-07-31,627.7,825.1,64.87612847222222,93.94696180555556,611.8780862040784,752.2862339721796,18.108183734916015,104.9583577168952
1955-08-31,624.8,823.6,51.98,83.17193865740741,608.2969365048195,750.3094907794433,-0.0,98.39946963374966
1955-09-30,626.7,824.3,54.18933449074074,76.53152199074074,610.9931002079594,750.189594010493,11.20163758195549,89.54836195141124
1955-10-31,626.5,831.5,58.66225694444444,74.07214699074073,614.9211475128869,750.3602815667509,30.701917576318685,86.68598362601122
1955-11-30,630.0,833.9,71.92600115740741,75.09907407407407,618.1957491737597,750.6400349077037,47.407220885375445,84.80321143398739
1955-12-31,625.8,833.9,90.22161458333333,74.9871875,620.0687576843176,750.8112103660603,57.25857071023036,83.8335008995213
1956-01-31,631.4,834.0,90.96516203703703,74.04617476851851,620.7590528274309,750.2943032408291,59.533772870337394,80.61163905383938
1956-02-29,630.6,832.3,90.47448495370371,70.75664930555556,621.0172969039043,750.0460897839772,61.055764813531574,82.16983217010032
1956-03-31,627.5,829.0,69.26483796296296,68.50270254629629,620.4084624947244,748.8968112336573,58.47783796326723,86.42480945373546
1956-04-30,625.8,827.2,41.44966666666667,67.21402199074075,618.6669737090219,747.82934401822,49.75675153549736,93.69997203272128
1956-05-31,622.2,826.3,27.80709722222223,66.22580439814814,614.4494727352386,746.8708228937611,27.93923976217728,97.63436791529922
1956-06-30,619.7,832.5,3.681333333333333,63.63333333333333,607.9859353161786,744.0705316360118,-0.0,86.25800783084394
1956-07-31,616.1,832.6,0.0,54.54838541666667,599.5552176037163,739.5886225418185,-0.0,72.72242045372158
1956-08-31,617.6,831.4,0.0,53.54838541666667,590.6167448002476,736.0640473182482,-0.0,57.30364502480781
1956-09-30,616.8,815.2,0.0,59.13333333333333,591.321691432279,735.7773419304099,-0.0,54.339116203054445
1956-10-31,622.1,817.5,0.0,64.58064236111112,596.3054732928993,736.0823294984592,-0.0,70.25210184753759
1956-11-30,624.4,815.4,21.52133333333333,70.26666666666667,601.219512928065,736.5003205241001,-0.0,85.21566504655692
1956-12-31,626.4,815.0,35.63354745370371,72.0,605.8052609381576,736.8524925614737,-0.0,98.64652940935356
1957-01-31,626.6,813.7,51.13741898148148,74.25806712962962,611.7786803321804,737.9293653500612,11.995249254344555,89.56306153169403
1957-02-28,627.9,813.1,49.60107060185185,72.3928587962963,614.1014479413448,738.4492370707785,25.943784782342405,85.16914417712762
1957-03-31,630.3,812.2,65.36225694444444,93.12903356481482,616.263869577341,738.4075292392487,41.265603079538685,94.85154124364554
1957-04-30,635.9,814.3,103.8240046296296,133.1333333333333,630.2929943395668,739.2459357496496,135.95709634661424,189.0078045779729
1957-05-31,639.9,822.3,183.6370949074074,200.4193518518518,646.4100162648468,741.345001617755,235.0851446128663,205.70883733164857
1957-06-30,645.6,832.8,237.6530092592592,193.0,653.0827271930754,742.6528236096157,274.2491538770433,247.5990685430955
1957-07-31,631.4,832.7,156.8645138888889,154.4193518518518,642.8659621563376,742.4972781431119,199.0357525939212,210.62737425996815
1957-08-31,627.6,831.8,91.9654861111111,135.645162037037,635.3466647636045,742.4298272082575,151.45123145035848,181.1676411569647
1957-09-30,638.4,833.0,121.0420023148148,134.0666666666667,644.8408942891914,744.5180738738095,207.47980188254397,193.71329770537113
1957-10-31,648.0,837.5,194.1858101851852,199.2580555555556,655.6854163391534,747.4836577513427,266.86689049852686,250.72658275974092
1957-11-30,650.1,839.7,235.8540046296296,221.6666666666667,662.7625859028451,750.4874247592718,303.14194007616464,249.3983635963309
1957-12-31,652.8,840.9,252.1925925925926,211.0322685185185,664.4211757322597,753.2206167986003,305.7600935157356,235.45703746004327
1958-01-31,661.0,843.1,276.3132175925926,197.6774074074074,665.6583080364787,755.7092397880922,310.20184385568353,197.6632694129416
1958-02-28,667.8,845.5,307.4071527777778,218.2142824074074,670.6689214884725,757.9207902145869,344.09845381979807,215.50835981614085
1958-03-31,670.1,848.8,338.3871064814815,259.8709722222222,671.0515556889854,759.8308044301697,344.84240304608386,216.39564751347626
1958-04-30,666.3,850.1,338.5,234.9666666666667,670.2917850588581,761.542043783061,336.65095538102486,202.61087419897112
1958-05-31,670.1,851.9,345.2306481481481,268.4516203703704,673.4706674571025,763.2138059746234,367.515155365063,266.0940351269767
1958-06-30,663.2,854.0,311.8319907407408,235.3333333333333,669.2014450877075,764.1181549968869,333.9095570291663,248.31908356590606
1958-07-31,659.0,855.3,301.6161342592592,196.2258101851852,664.1658908760436,764.2999958456921,301.1777229740238,211.11359390458395
1958-08-31,655.1,856.5,264.3867824074074,169.7419328703704,659.0627327479949,764.4962838773083,271.1953536901351,180.12283051276776
1958-09-30,670.5,859.6,280.8780092592593,164.3,664.4402833125109,766.4742284237988,300.1883832431364,169.34851197399772
1958-10-31,674.3,862.2,325.9380555555555,180.9677430555556,669.2230729109921,769.0129079292415,324.0377053068388,161.93242431396735
1958-11-30,679.1,864.4,333.9156712962963,216.5333333333333,671.6017195558436,771.4521788816639,338.4694072479039,163.6520996878189
1958-12-31,677.6,866.1,338.3871064814815,201.6774074074074,671.5614723061767,773.644296493048,335.29934610975073,153.58596580714251
